calories,cook_time,course,cuisine,directions_steps,image,ingredients_list,nutrition_facts,prep_time,servings,subheading,title,total_time
,,,,,,,"[{'Calories:': '146'}, {'Carbohydrates:': '28'}, {'Protein:': '2'}, {'Fat:': '4'}, {'Saturated Fat:': '1'}, {'Polyunsaturated Fat:': '0.4'}, {'Monounsaturated Fat:': '3'}, {'Sodium:': '8'}, {'Potassium:': '661'}, {'Fiber:': '4'}, {'Sugar:': '10'}, {'Vitamin A:': '19932'}, {'Vitamin C:': '39'}, {'Calcium:': '93'}, {'Iron:': '1'}]",,,,,
,,,,,,,"[{'Serving:': '1'}, {'Calories:': '85'}, {'Carbohydrates:': '9.1'}, {'Protein:': '3.5'}, {'Fat:': '3.2'}, {'Saturated Fat:': '0'}, {'Polyunsaturated Fat:': '0'}, {'Monounsaturated Fat:': '0'}, {'Trans Fat:': '0'}, {'Cholesterol:': '0'}, {'Fiber:': '4.1'}, {'Sugar:': '0'}]",,,,,
,,,,,,,"[{'Calories:': '226'}, {'Carbohydrates:': '18'}, {'Protein:': '4'}, {'Fat:': '17'}, {'Saturated Fat:': '7'}, {'Polyunsaturated Fat:': '1'}, {'Monounsaturated Fat:': '7'}, {'Cholesterol:': '28'}, {'Sodium:': '1166'}, {'Potassium:': '755'}, {'Fiber:': '4'}, {'Sugar:': '12'}, {'Vitamin A:': '2962'}, {'Vitamin C:': '39'}, {'Calcium:': '57'}, {'Iron:': '1'}]",,,,,
,,,,,,,"[{'Calories:': '432'}, {'Carbohydrates:': '62'}, {'Protein:': '20'}, {'Fat:': '12'}, {'Saturated Fat:': '3'}, {'Polyunsaturated Fat:': '2'}, {'Monounsaturated Fat:': '6'}, {'Trans Fat:': '0.1'}, {'Cholesterol:': '58'}, {'Sodium:': '871'}, {'Potassium:': '1229'}, {'Fiber:': '6'}, {'Sugar:': '7'}, {'Vitamin A:': '4217'}, {'Vitamin C:': '64'}, {'Calcium:': '97'}, {'Iron:': '3'}]",,,,,
,,,,,,,"[{'Calories:': '49'}, {'Carbohydrates:': '9.2'}, {'Protein:': '1.1'}, {'Fat:': '1.6'}, {'Saturated Fat:': '0.2'}, {'Fiber:': '2.5'}, {'Sugar:': '3.2'}]",,,,,
,,,,,,,"[{'Calories:': '171'}, {'Carbohydrates:': '2'}, {'Protein:': '2'}, {'Fat:': '17'}, {'Saturated Fat:': '9'}, {'Polyunsaturated Fat:': '2'}, {'Monounsaturated Fat:': '5'}, {'Trans Fat:': '0'}, {'Cholesterol:': '54'}, {'Sodium:': '261'}, {'Potassium:': '98'}, {'Fiber:': '1'}, {'Sugar:': '1'}, {'Vitamin A:': '583'}, {'Vitamin C:': '1'}, {'Calcium:': '254'}, {'Iron:': '1'}]",,,,,
146,25 minutes,"Dinner, Lunch, Side Dish",American,"Gather your ingredients. Preheat your air fryer to 400° F (about 200°C).,Slice off the stem at the top of the squash, then slice it vertically. Use a spoon to scrape out the seeds.,Brush the flesh side of each butternut halve with olive oil.,Combine brown sugar and cinnamon in a small bowl. Sprinkle the cinnamon sugar on top of the fleshy side of the butternut.,Spray your air fryer basket with a non-aerosol cooking spray, brush with cooking oil, or line it with air fryer parchment paper for easier cleanup.,Place the butternut inside the basket, with the skin side facing upwards. Air fry for 20 minutes or until tender (a knife inserted in the middle should come out easily).,Use a pair of kitchen tongs to turn over the butternut squash. Then, brush the flipped side with the remaining oil and sprinkle the rest of the cinnamon sugar on it.,Air fry for 7-8 minutes, or until caramelized. Arrange on plates, sprinkle a pinch or two of salt on top, then serve.",,"1 Butternut squash - cleaned,1 tablespoon olive oil (or melted butter),2 tablespoon brown sugar,½ teaspoon cinnamon,1-2 pinches of salt",,5 minutes,4,"Making air fryer butternut squash halves is so easy! With warm cinnamon, and sweet brown sugar, this salty-sweet dish is bound to become a fall favorite!",Air Fryer Roasted Butternut Squash Halves,30 minutes
85,0 minutes,Spice,East African,"Heat a pan over medium heat. Add cumin, cardamom, black peppercorns, cinnamon sticks, and cloves.,Reduce the heat to a low and roast the spices, stirring continuously until fragrant. Transfer the spices to a bowl to cool.,Blend the cooled spice mix into a powder and store in an airtight container in a cool, dry place.",,"½ cup cumin seeds (whole) approx. 100g,2 tablespoon cardamom pods - green approx. 30g,3 tablespoon black peppercorn seeds approx.90g,5 cinnamon sticks,2 tablespoon cloves (whole) approx. 30g",,1 minute,7,Transform your rice dishes with this homemade pilau masala spice recipe!,Best Pilau Masala Spice Recipe,3 minutes
226,30 minutes,"Dinner, Lunch, Main Course","American, International Cuisine","Wash the tomatoes, remove the stem end, and roughly chop, catching any juice that comes out.,Set your Ninja Foodi or electric pressure cooker to the saute function. Heat the cooking oil and saute the onions until translucent and fragrant (about 4-5 minutes). Stir in the garlic and cook for a minute.,To prevent burning, add the vegetable stock and deglaze the pot, making sure to scrape any bits sticking at the bottom.,Top with the fresh tomatoes, tomato paste, paprika powder, salt, pepper, and brown sugar (optional) .,Stop the saute function and change to the pressure cooking function.,Close the pot using the pressure cooking lid, making sure to set the valve to the sealing position. Press the pressure cook function, and set the time to 15 minutes.,Once the cooking time is over, allow your Ninja Foodi, Instant Pot, or other electric pressure cooker to naturally pressure release for 10 minutes before doing a quick pressure release.,Open the lid, stir and use an immersion blender to blend until smooth and creamy. If preferred, pass the blended tomato soup through a sieve for a smoother soup.,Stir in the cream, check for salt, then transfer to bowls. Garnish with sliced basil, then serve with some garlic baguette, croutons, grilled cheese sandwich, or as preferred.",,"2 tablespoon cooking oil,1 medium onion (diced),4-6 cloves of garlic (minced or crushed),500ml  low-sodium vegetable stock - approximately 16 oz,1.2 kgs fresh tomatoes (approximately 42 ounces),2 tablespoon tomato paste,½ teaspoon smoked or sweet paprika,1 teaspoon salt (use more or less, to taste),black pepper to taste,1 teaspoon brown sugar (optional),½ cup heavy cream,a handful of fresh basil sliced julienne style, to strips",,10 minutes,4,"This Ninja Foodi tomato soup is perfect for those chilly days! It's creamy, delicious, and can be made using any electric pressure cooker. What's not to love!",Ninja Foodi Tomato Soup Recipe,38 minutes
432,25 minutes,"Dinner, Lunch, Main Course",American,"Set Ninja Foodi to Sauté (high) setting and allow it to heat up.,Heat olive oil and butter (or margarine). Add onion and garlic, and cook for 1-2 minutes or until softened and fragrant.,Add celery, carrots, red bell pepper, and potatoes, then mix well.,Add the chicken thighs and top with most seasonings - red pepper flakes, dried parsley, Italian seasoning, salt, black pepper, and chicken bouillon - then stir to combine.,Add bay leaves, thyme, and chicken stock, then stir. Let the chicken simmer for 10-15 minutes.,Add the water and rice then stir to combine. Turn the valve of your Ninja Foodi lid (or Instant Pot, or electric pressure cooker -see notes) to the sealing position and set it to pressure cook on High for 2-3 minutes if you like the rice to have a bite, otherwise pressure cook for 4 minutes.,While the chicken soup is cooking, whisk together the milk and starch (or tapioca or arrowroot flour) until smooth.,Once the pressure cooking time is over, allow it to release pressure naturally for 5 minutes.,Turn the valve to the Venting setting to quickly release the remaining pressure.,Remove the chicken pieces, shred them, and then return them to the pot. Discard the bay leaves.,Add the milk-starch mixture to the soup and stir until well incorporated. Add water or broth if you prefer a lighter soup, and check for salt and pepper.,Ladle into bowls, garnish with some freshly chopped parsley, then serve.",,"2 tablespoon extra virgin olive oil,1 tablespoon butter or margarine,4 cloves  garlic minced,1 medium-sized onion finely chopped,2-3 celery ribs cut into 1 cm/2/5"" slices,2 large carrots chopped,5 medium-sized potatoes cut into large cubes,1 medium red bell pepper chopped,600g  bone-in, skinless chicken thighs approximately - (1.2 lbs),1 teaspoon red pepper flakes use more or less, to taste,½ teaspoon dried parsley,1 teaspoon Italian seasoning,1 teaspoon dried thyme (or 3 sprigs fresh thyme),1 teaspoon salt (or more, to taste),black pepper to taste,3-5 bay leaves,2 chicken bouillon cubes  (or 1½ tablespoons chicken bouillon powder),5 cups chicken stock unsalted or low sodium,4 cups water,¾ cup long-grain white rice - uncooked  (approximately 170g),½ cup milk (to make the soup creamy),1 teaspoon cornstarch,tapioca flour, or arrowroot flour  to thicken the soup,fresh chopped parsley optional - for garnishing",,10 minutes,6,This Ninja Foodi Chicken Vegetable Soup with rice and potatoes is a delicious and healthy meal that can be prepared quickly and easily.,ninja foodi chicken vegetable soup,40 minutes
