additional_time,cook_time,directions_steps,image,image_url,ingredients_list,nutrition_facts,prep_time,recipe_details_list,servings,title,total_time,yield_result
,,"Combine watermelon, tomatoes, red pepper, cucumber, shallot, lime juice, vinegar, salt, and pepper in a high-powered blender. Blend until smooth, 20 to 30 seconds. Refrigerate for at least 1 hour to allow flavors to meld and soup to chill.,Stir gazpacho before serving, as it has a tendency to separate, and divide between 4 bowls. Top with feta cheese and cilantro.",,https://www.allrecipes.com/thmb/UDvoVCMEkznPJV0ceIXOS9qEfl8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1655066550IMG_2077202-2000-d06cb8278ad145d7bd0bb45ddf09901a.jpg,"4 cups cubed seeded watermelon,2 roma (plum) tomatoes, seeded and chopped,1 red bell pepper, chopped,½ English (seedless) cucumber - peeled, seeded, and cubed,2 tablespoons minced shallot,2 tablespoons fresh lime juice,1 tablespoon apple cider vinegar,1 ½ teaspoons salt, or to taste,¼ teaspoon freshly ground black pepper,2 tablespoons crumbled feta cheese,2 tablespoons minced fresh cilantro","[{'83': 'Calories'}, {'1g': 'Fat'}, {'17g': 'Carbs'}, {'3g': 'Protein'}]",,,,Summer Watermelon Gazpacho,,
,,"Gather the ingredients.,Make the patties: Mix ground sirloin, panko bread crumbs, egg, milk, 1/2 packet onion soup mix, Worcestershire sauce, and black pepper together in a large bowl; shape into 5 patties.,Heat a skillet over medium heat. Cook patties in the hot skillet until browned, 3 to 5 minutes per side.,Make the gravy: Melt butter in a separate skillet over medium-high heat. Sauté mushrooms and onion in melted butter until tender, about 5 minutes. Stir flour and remaining 1/2 packet onion soup mix into mushroom mixture until combined.,Gradually add beef stock and water, stirring continually, until simmering. Reduce heat to medium; cook, stirring frequently, until gravy has thickened, about 4 to 5 minutes. Season with salt and pepper.,Place browned patties into gravy; simmer until very tender, about 30 minutes. An instant-read thermometer inserted into the center should read 160 degrees F (70 degrees C).",,https://www.allrecipes.com/thmb/z-H16a07AqRZjAmTM5Ko4zrAmKg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2067307-3814bac5191a42caad0e604d01f78ffa.jpg,"1 pound ground sirloin,½ cup panko bread crumbs,1 egg, beaten,2 tablespoons milk,½ (1 ounce) package dry onion soup mix,1 teaspoon Worcestershire sauce,¼ teaspoon ground black pepper,3 tablespoons butter,2 cups fresh mushrooms, sliced,1 sweet onion, sliced,3 tablespoons all-purpose flour,½ (1 ounce) package dry onion soup mix,1 ½ cups beef stock,1 cup water,salt and ground black pepper to taste","[{'421': 'Calories'}, {'20g': 'Fat'}, {'27g': 'Carbs'}, {'33g': 'Protein'}]",,,,Midwest Salisbury Steak,,
,,"Whisk garlic, rice vinegar, soy sauce, fish sauce, brown sugar, Sriracha, hoisin, and sesame oil together in a mixing bowl for the dressing.,Tear chicken apart into strands similar in width to the spaghetti. Refrigerate until ready to use.,Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes. Drain and rinse with cold water.,Transfer spaghetti to a mixing bowl; add the chicken, carrots, bell pepper, and green onions. Pour in the dressing and toss by hand until well combined. Seal the surface of the salad with plastic wrap and refrigerate, tossing occasionally, for 2 to 12 hours, the longer the better.,Add peanuts, basil, mint, and cilantro to the salad. Toss well; taste and adjust for seasoning.",,,"3 cloves garlic, crushed,½ cup seasoned rice vinegar,1 tablespoon soy sauce,1 tablespoon fish sauce,1 tablespoon brown sugar,1 tablespoon Sriracha chile sauce,1 tablespoon hoisin sauce,1 teaspoon sesame oil,1 cooked chicken breast,1 (8 ounce) package spaghetti,1 cup grated carrots,1 red bell pepper, thinly sliced,4 green onions, thinly sliced,½ cup chopped roasted, salted peanuts,⅓ cup chopped fresh basil,⅓ cup chopped fresh mint,⅓ cup chopped cilantro","[{'441': 'Calories'}, {'12g': 'Fat'}, {'65g': 'Carbs'}, {'20g': 'Protein'}]",,,,Chicken Noodle Salad,,
,,"Combine olive oil, maple seasoning, and lemon juice in a glass bowl. Add shrimp and toss to coat. Refrigerate until ready to grill.,Whisk olive oil, honey, lime juice, cilantro, balsamic vinegar, salt, and pepper together in a small bowl. Set vinaigrette aside.,Preheat an indoor or outdoor grill to medium-high heat. Thread the shrimp onto skewers. Grill until shrimp turn pink and opaque, about 2 minutes per side. Remove from skewers and set aside.,Place mixed greens in the bottom of a large salad bowl. Lay cucumber, corn, tomato, red onion, and avocado in sections on top of the greens. Pile the grilled shrimp in the center of the salad. Drizzle with the vinaigrette and toss to coat. Serve immediately.",,https://www.allrecipes.com/thmb/mCjztmbnCfV5mx5TEBwwhvgTCiY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8280951-260be9ac29454c369718300847df714e.jpg,"1 tablespoon olive oil,2 ¼ teaspoons smokehouse maple seasoning (such as McCormick Grill Mates),1 ½ teaspoons lemon juice,12 ounces peeled and deveined shrimp,¼ cup extra-virgin olive oil,2 tablespoons honey,2 tablespoons fresh lime juice,2 tablespoons chopped cilantro,1 tablespoon balsamic vinegar,salt and ground black pepper to taste,4 cups mixed salad greens, or more to taste,½ cup thinly sliced English cucumber,⅓ cup freshly cooked corn,½ cup diced tomato,¼ cup sliced red onion,1 avocado, diced","[{'746': 'Calories'}, {'52g': 'Fat'}, {'49g': 'Carbs'}, {'33g': 'Protein'}]",,,,Summer Grilled Shrimp Salad,,
,,"Place egg in a saucepan and cover with cold water. Bring water to a boil and immediately remove from heat. Cover and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool and peel. For faster cooling, place the eggs in an ice bath before peeling.,In a medium bowl, stir together the mayonnaise, Dijon mustard, yellow mustard, lemon juice and green onions. Chop the eggs into big chunks and mix gently with the dressing. Season with salt and pepper.",,https://www.allrecipes.com/thmb/5P2xjjoAMINJ4rYN6VemqAALi8s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/804307-e638e34a16bf45fe957aebf5173e1860.jpg,"6 eggs,¼ cup mayonnaise,1 teaspoon Dijon mustard,½ teaspoon prepared yellow mustard,½ lemon, juiced,¼ cup chopped green onions,salt and pepper to taste","[{'212': 'Calories'}, {'18g': 'Fat'}, {'3g': 'Carbs'}, {'10g': 'Protein'}]",,,,Jen's Heavenly Egg Salad,,
,,"In a medium bowl, whip cream to soft peaks.,Combine meat, celery, grapes, almonds, parsley, salt, and mayonnaise with whipped cream. Chill.",,,"2 ½ cups diced and chilled, cooked chicken meat,1 cup chopped celery,1 cup sliced, seedless grapes,½ cup sliced almonds,2 tablespoons chopped fresh parsley,1 teaspoon salt,1 cup mayonnaise,¼ cup heavy whipping cream","[{'274': 'Calories'}, {'24g': 'Fat'}, {'5g': 'Carbs'}, {'11g': 'Protein'}]",,,,Becky's Chicken Salad,,
,,"Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease and flour two 9-inch cake pans.,To make the cake: Sift flour, sugar, baking soda, and salt together in a large bowl. Combine bananas, oil, walnuts, pineapple, and eggs in another large bowl; mix well.,Stir flour mixture into banana mixture until combined. Pour batter into the prepared pans.,Bake in the preheated oven until a toothpick inserted into the center of each pan comes out clean, about 1 hour. Allow cakes to cool on wire racks.,Meanwhile, make frosting: Beat together confectioners' sugar, cream cheese, butter, and vanilla in a medium bowl until smooth.,Evenly spread frosting on the middle, sides, and top of cooled cake.",,,"3 cups all-purpose flour,2 cups white sugar,1 teaspoon baking soda,1 teaspoon salt,2 cups mashed bananas,1 ½ cups canola oil,1 cup chopped black walnuts,1 (8 ounce) can crushed pineapple, drained,3 large eggs,1 pound confectioners' sugar,1 (8 ounce) package cream cheese, softened,¼ pound butter, softened,1 teaspoon vanilla extract","[{'719': 'Calories'}, {'40g': 'Fat'}, {'86g': 'Carbs'}, {'7g': 'Protein'}]",,,,Hummingbird Cake,,
,,"Preheat the oven to 400 degrees F (200 degrees C).,Stir together butter, mustard, and honey in a small bowl. Set aside.,Mix together bread crumbs, pecans, and parsley in another bowl.,Brush each salmon fillet lightly with honey mustard mixture.,Sprinkle the tops of fillets with bread crumb mixture.,Bake salmon in the preheated oven until it flakes easily with a fork, 12 to 15 minutes. Season with salt and pepper, and garnish with a wedge of lemon.",,,"¼ cup butter, melted,3 tablespoons Dijon mustard,1 ½ tablespoons honey,¼ cup dry bread crumbs,¼ cup finely chopped pecans,4 teaspoons chopped fresh parsley,4 (4 ounce) fillets salmon,salt and pepper to taste,1 lemon, for garnish","[{'422': 'Calories'}, {'29g': 'Fat'}, {'18g': 'Carbs'}, {'24g': 'Protein'}]",,,,Baked Dijon Salmon,,
,,"Rinse whole lettuce leaves and pat dry, being careful not to tear them; set aside.,Heat oil in a large skillet over medium-high heat. Add beef; cook and stir until browned and crumbly, 5 to 7 minutes. Drain and discard grease; transfer beef to a bowl. Add onion to the same skillet; cook and stir until just tender, 5 to 7 minutes.,Stir in hoisin sauce, garlic, soy sauce, vinegar, ginger, and chile pepper sauce until well combined. Add water chestnuts, green onions, sesame oil, and cooked beef; cook and stir until the onions just begin to wilt, about 2 minutes.,Arrange lettuce leaves around the outer edge of a large serving platter; spoon beef mixture in the center.",,,"16 Boston Bibb or butter lettuce leaves,1 pound lean ground beef,1 tablespoon cooking oil,1 large onion, chopped,¼ cup hoisin sauce,2 cloves fresh garlic, minced,1 tablespoon soy sauce,1 tablespoon rice wine vinegar,2 teaspoons minced pickled ginger,1 dash Asian chile pepper sauce, or to taste (Optional),1 (8 ounce) can water chestnuts, drained and finely chopped,1 bunch green onions, chopped,2 teaspoons Asian (dark) sesame oil","[{'388': 'Calories'}, {'22g': 'Fat'}, {'24g': 'Carbs'}, {'23g': 'Protein'}]",,,,Asian Lettuce Wraps,,
,,"Whisk buttermilk, mayonnaise, shallot, dill, lemon juice, and salt together in a bowl until dressing is smooth; refrigerate.,Mix lettuce, bacon, avocado, eggs, and salmon together in a bowl. Add dressing and toss until coated; season with black pepper.",,https://www.allrecipes.com/thmb/OtvWYrPDvrzyUWu8IQVftD0riKE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/258277-salmon-cobb-salad-magazine-4x3-43c651aa647e4ce788afc4222119032e.jpg,"¾ cup buttermilk,½ cup mayonnaise,¼ cup minced shallot,3 tablespoons chopped fresh dill,1 tablespoon lemon juice,½ teaspoon salt,1 head Bibb lettuce, leaves separated,8 ounces cooked bacon, cut into pieces,1 avocado, cut into 1/2-inch pieces,3 hard-boiled eggs, quartered and halved,1 (3 ounce) package smoked salmon,ground black pepper to taste","[{'249': 'Calories'}, {'20g': 'Fat'}, {'3g': 'Carbs'}, {'13g': 'Protein'}]",,,,Salmon Cobb Salad,,
